student_question,ai_tutor_response
"Why do leaves change color in fall?","Leaves change color because chlorophyll breaks down, revealing other pigments like carotenoids (yellow/orange) and anthocyanins (red). This happens when daylight decreases and temperatures drop."
"What is photosynthesis?","Photosynthesis is when plants make food using sunlight. They take in carbon dioxide and water, and with energy from the sun, they create glucose and release oxygen."
"How do cells divide?","Cells just split in half whenever they want to. It's pretty simple - one cell becomes two cells."
"What is DNA?","DNA stands for deoxyribonucleic acid. It's a molecule that contains genetic instructions for all living organisms. DNA is made up of nucleotides arranged in a double helix structure, discovered by Watson and Crick."
"Why do we need oxygen?","We need oxygen to breathe. Without it, we would die."
"What is the difference between mitosis and meiosis?","Mitosis creates two identical daughter cells and is used for growth and repair. Meiosis creates four genetically different cells (gametes) and involves two divisions. Mitosis has one division, meiosis has two."
"How does the immune system work?","The immune system protects your body from germs and diseases."
"What causes genetic mutations?","Mutations can happen when DNA is copied incorrectly or when cells are exposed to radiation or certain chemicals."
"Why is biodiversity important?","Biodiversity helps ecosystems stay healthy and provides resources for humans."
"How do vaccines work?","Vaccines train your immune system to recognize and fight specific diseases by introducing a weakened or inactive form of the pathogen."
